skill_id,district_id,sector,period,current_demand_count,anticipated_demand_count,demand_score,strength_tier,sample_size,recent_growth,source
SKILL_0152,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0174,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0211,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0248,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0272,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0278,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0281,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0304,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0321,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0385,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0395,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0427,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0430,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0444,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0470,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0528,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0546,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0578,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0590,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0598,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0609,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0617,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0634,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0637,Mumbai City,IT/Software - Data & AI,2025-09,1,0,0.0024,HIGH,411,,naukri:indian-job-market-dataset-2025
SKILL_0170,Mumbai City,IT/Software - Data & AI,2025-10,0,2,,INSUFFICIENT,3,,naukri:indian-job-market-dataset-2025
SKILL_0181,Mumbai City,IT/Software - Data & AI,2025-10,0,2,,INSUFFICIENT,3,,naukri:indian-job-market-dataset-2025
SKILL_0254,Mumbai City,IT/Software - Data & AI,2025-10,0,2,,INSUFFICIENT,3,,naukri:indian-job-market-dataset-2025
SKILL_0363,Mumbai City,IT/Software - Data & AI,2025-10,0,2,,INSUFFICIENT,3,,naukri:indian-job-market-dataset-2025
SKILL_0178,Mumbai City,IT/Software - Data & AI,2025-10,0,1,,INSUFFICIENT,3,,naukri:indian-job-market-dataset-2025
SKILL_0184,Mumbai City,IT/Software - Data & AI,2025-10,0,1,,INSUFFICIENT,3,,naukri:indian-job-market-dataset-2025
SKILL_0400,Mumbai City,IT/Software - Data & AI,2025-10,0,1,,INSUFFICIENT,3,,naukri:indian-job-market-dataset-2025
SKILL_0632,Mumbai City,IT/Software - Data & AI,2025-10,0,1,,INSUFFICIENT,3,,naukri:indian-job-market-dataset-2025
SKILL_0274,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,41,0,0.5942,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0170,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,8,0,0.1159,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0391,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,8,0,0.1159,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0470,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,7,0,0.1014,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0277,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,6,0,0.087,MEDIUM,69,,naukri:indian-job-market-dataset-2025
SKILL_0615,Mumbai City,IT/Software - IT Infrastructure & Networks,2025-09,5,0,0.0725,MEDIUM,69,,naukri:indian-job-market-dataset-2025
